DATE,OPEN,HIGH,LOW,CLOSE
04/22/2010,35.34,35.34,35.34,35.34
04/23/2010,39.33,39.33,39.33,39.33
04/26/2010,39.83,39.83,39.83,39.83
04/27/2010,54.72,54.72,54.72,54.72
04/28/2010,47.82,47.82,47.82,47.82
04/29/2010,40.67,40.67,40.67,40.67
04/30/2010,52.27,52.27,52.27,52.27
05/03/2010,44.54,44.54,44.54,44.54
05/04/2010,49.9,49.9,49.9,49.9
05/05/2010,54.62,54.62,54.62,54.62
05/06/2010,66.72,66.72,66.72,66.72
05/07/2010,74.25,74.25,74.25,74.25
05/10/2010,59.9,59.9,59.9,59.9
05/11/2010,64.23,64.23,64.23,64.23
05/12/2010,59.97,59.97,59.97,59.97
05/13/2010,62.5,62.5,62.5,62.5
05/14/2010,65.31,65.31,65.31,65.31
05/17/2010,55.61,55.61,55.61,55.61
05/18/2010,61.73,61.73,61.73,61.73
05/19/2010,64.78,64.78,64.78,64.78
05/20/2010,87.4,87.4,87.4,87.4
05/21/2010,76.7,76.7,76.7,76.7
05/24/2010,82.25,82.25,82.25,82.25
05/25/2010,71.96,71.96,71.96,71.96
05/26/2010,85.06,85.06,85.06,85.06
05/27/2010,76.02,76.02,76.02,76.02
05/28/2010,78.22,78.22,78.22,78.22
06/01/2010,84.49,84.49,84.49,84.49
06/02/2010,76.22,76.22,76.22,76.22
06/03/2010,75.88,75.88,75.88,75.88
06/04/2010,81.65,81.65,81.65,81.65
06/07/2010,84.51,84.51,84.51,84.51
06/08/2010,80.0,80.0,80.0,80.0
06/09/2010,78.18,78.18,78.18,78.18
06/10/2010,77.32,77.32,77.32,77.32
06/11/2010,72.47,72.47,72.47,72.47
06/14/2010,70.22,70.22,70.22,70.22
06/15/2010,64.74,64.74,64.74,64.74
06/16/2010,68.88,68.88,68.88,68.88
06/17/2010,66.66,66.66,66.66,66.66
06/18/2010,66.5,66.5,66.5,66.5
06/21/2010,66.6,66.6,66.6,66.6
06/22/2010,74.23,74.23,74.23,74.23
06/23/2010,70.89,70.89,70.89,70.89
06/24/2010,74.21,74.21,74.21,74.21
06/25/2010,70.21,70.21,70.21,70.21
06/28/2010,73.74,73.74,73.74,73.74
06/29/2010,79.93,79.93,79.93,79.93
06/30/2010,81.26,81.26,81.26,81.26
07/01/2010,73.41,73.41,73.41,73.41
07/02/2010,71.81,71.81,71.81,71.81
07/06/2010,67.18,67.18,67.18,67.18
07/07/2010,64.5,64.5,64.5,64.5
07/08/2010,63.32,63.32,63.32,63.32
07/09/2010,60.93,60.93,60.93,60.93
07/12/2010,61.92,61.92,61.92,61.92
07/13/2010,62.67,62.67,62.67,62.67
07/14/2010,61.53,61.53,61.53,61.53
07/15/2010,64.48,64.48,64.48,64.48
07/16/2010,69.86,69.86,69.86,69.86
07/19/2010,75.27,75.27,75.27,75.27
07/20/2010,66.13,66.13,66.13,66.13
07/21/2010,75.83,75.83,75.83,75.83
07/22/2010,75.02,75.02,75.02,75.02
07/23/2010,74.86,74.86,74.86,74.86
07/26/2010,70.44,70.44,70.44,70.44
07/27/2010,71.46,71.46,71.46,71.46
07/28/2010,74.27,74.27,74.27,74.27
07/29/2010,71.32,71.32,71.32,71.32
07/30/2010,71.79,71.79,71.79,71.79
08/02/2010,65.88,65.88,65.88,65.88
08/03/2010,70.72,70.72,70.72,70.72
08/04/2010,67.33,67.33,67.33,67.33
08/05/2010,67.6,67.6,67.6,67.6
08/06/2010,66.04,66.04,66.04,66.04
08/09/2010,66.06,66.06,66.06,66.06
08/10/2010,67.39,67.39,67.39,67.39
08/11/2010,72.43,72.43,72.43,72.43
08/12/2010,76.87,76.87,76.87,76.87
08/13/2010,81.75,81.75,81.75,81.75
08/16/2010,78.33,78.33,78.33,78.33
08/17/2010,72.25,72.25,72.25,72.25
08/18/2010,78.32,78.32,78.32,78.32
08/19/2010,80.52,80.52,80.52,80.52
08/20/2010,81.91,81.91,81.91,81.91
08/23/2010,82.93,82.93,82.93,82.93
08/24/2010,85.7,85.7,85.7,85.7
08/25/2010,82.82,82.82,82.82,82.82
08/26/2010,85.68,85.68,85.68,85.68
08/27/2010,78.72,78.72,78.72,78.72
08/30/2010,89.23,89.23,89.23,89.23
08/31/2010,86.65,86.65,86.65,86.65
09/01/2010,78.92,78.92,78.92,78.92
09/02/2010,76.42,76.42,76.42,76.42
09/03/2010,68.07,68.07,68.07,68.07
09/07/2010,71.91,71.91,71.91,71.91
09/08/2010,68.41,68.41,68.41,68.41
09/09/2010,69.38,69.38,69.38,69.38
09/10/2010,65.44,65.44,65.44,65.44
09/13/2010,62.24,62.24,62.24,62.24
09/14/2010,66.0,66.0,66.0,66.0
09/15/2010,68.64,68.64,68.64,68.64
09/16/2010,65.85,65.85,65.85,65.85
09/17/2010,71.85,71.85,71.85,71.85
09/20/2010,66.88,66.88,66.88,66.88
09/21/2010,71.97,71.97,71.97,71.97
09/22/2010,68.06,68.06,68.06,68.06
09/23/2010,70.52,70.52,70.52,70.52
09/24/2010,62.21,62.21,62.21,62.21
09/27/2010,64.69,64.69,64.69,64.69
09/28/2010,65.75,65.75,65.75,65.75
09/29/2010,68.27,68.27,68.27,68.27
09/30/2010,69.29,69.29,69.29,69.29
10/01/2010,64.3,64.3,64.3,64.3
10/04/2010,67.44,67.44,67.44,67.44
10/05/2010,60.02,60.02,60.02,60.02
10/06/2010,58.72,58.72,58.72,58.72
10/07/2010,59.62,59.62,59.62,59.62
10/08/2010,56.83,56.83,56.83,56.83
10/11/2010,54.35,54.35,54.35,54.35
10/12/2010,53.38,53.38,53.38,53.38
10/13/2010,53.58,53.58,53.58,53.58
10/14/2010,52.52,52.52,52.52,52.52
10/15/2010,47.72,47.72,47.72,47.72
10/18/2010,47.78,47.78,47.78,47.78
10/19/2010,58.03,58.03,58.03,58.03
10/20/2010,56.72,56.72,56.72,56.72
10/21/2010,59.68,59.68,59.68,59.68
10/22/2010,61.18,61.18,61.18,61.18
10/25/2010,62.81,62.81,62.81,62.81
10/26/2010,65.18,65.18,65.18,65.18
10/27/2010,64.52,64.52,64.52,64.52
10/28/2010,68.38,68.38,68.38,68.38
10/29/2010,70.09,70.09,70.09,70.09
11/01/2010,69.02,69.02,69.02,69.02
