session_date,net_pnl,gross_pnl,trades,wins,losses
2019-11-06,-42.5,-37.5,1,0,1
2019-11-11,-30.0,-25.0,1,0,1
2019-11-14,-17.5,-12.5,1,0,1
2019-11-18,32.5,37.5,1,1,0
2019-11-25,-42.5,-37.5,1,0,1
2019-12-04,-55.0,-50.0,1,0,1
2019-12-10,-30.0,-25.0,1,0,1
2019-12-16,-67.5,-62.5,1,0,1
2019-12-19,-67.5,-62.5,1,0,1
2020-01-08,-30.0,-25.0,1,0,1
2020-01-09,-30.0,-25.0,1,0,1
2020-01-14,195.0,200.0,1,1,0
2020-01-15,57.5,62.5,1,1,0
2020-01-17,-30.0,-25.0,1,0,1
2020-02-07,-55.0,-50.0,1,0,1
2020-02-13,-30.0,-25.0,1,0,1
2020-02-19,-30.0,-25.0,1,0,1
2020-02-26,70.0,75.0,1,1,0
2020-03-05,57.5,62.5,1,1,0
2020-04-01,-167.5,-162.5,1,0,1
2020-04-20,-92.5,-87.5,1,0,1
2020-04-23,-55.0,-50.0,1,0,1
2020-04-27,-117.5,-112.5,1,0,1
2020-05-20,-30.0,-25.0,1,0,1
2020-06-01,-55.0,-50.0,1,0,1
2020-06-03,57.5,62.5,1,1,0
2020-06-18,-80.0,-75.0,1,0,1
2020-06-30,-42.5,-37.5,1,0,1
2020-07-01,57.5,62.5,1,1,0
2020-07-16,-80.0,-75.0,1,0,1
2020-07-24,-67.5,-62.5,1,0,1
2020-07-28,57.5,62.5,1,1,0
2020-08-14,127.5,137.5,2,1,1
2020-08-19,-17.5,-12.5,1,0,1
2020-08-24,32.5,37.5,1,1,0
2020-08-26,-30.0,-25.0,1,0,1
2020-09-08,-117.5,-112.5,1,0,1
2020-09-10,57.5,62.5,1,1,0
2020-09-29,-55.0,-50.0,1,0,1
2020-10-05,-30.0,-25.0,1,0,1
2020-10-07,-42.5,-37.5,1,0,1
2020-10-08,-42.5,-37.5,1,0,1
2020-10-12,-67.5,-62.5,1,0,1
2020-11-18,57.5,62.5,1,1,0
2020-11-19,-42.5,-37.5,1,0,1
2020-12-02,-30.0,-25.0,1,0,1
2020-12-07,-67.5,-62.5,1,0,1
2020-12-08,-55.0,-50.0,1,0,1
2020-12-11,-55.0,-50.0,1,0,1
2020-12-22,395.0,400.0,1,1,0
2020-12-30,-5.0,0.0,1,0,1
2020-12-31,-17.5,-12.5,1,0,1
2021-01-11,-92.5,-87.5,1,0,1
2021-01-12,57.5,62.5,1,1,0
2021-01-14,-42.5,-37.5,1,0,1
2021-01-28,-17.5,-12.5,1,0,1
2021-02-08,57.5,62.5,1,1,0
2021-02-09,-42.5,-37.5,1,0,1
2021-03-08,-167.5,-162.5,1,0,1
2021-03-17,-92.5,-87.5,1,0,1
2021-03-18,-42.5,-37.5,1,0,1
2021-03-25,-55.0,-50.0,1,0,1
2021-03-26,-80.0,-75.0,1,0,1
2021-03-30,132.5,137.5,1,1,0
2021-04-05,-192.5,-187.5,1,0,1
2021-04-14,20.0,25.0,1,1,0
2021-04-15,-42.5,-37.5,1,0,1
2021-04-30,395.0,400.0,1,1,0
2021-05-27,-30.0,-25.0,1,0,1
2021-06-02,95.0,100.0,1,1,0
2021-06-04,-30.0,-25.0,1,0,1
2021-06-22,-42.5,-37.5,1,0,1
2021-06-25,-55.0,-50.0,1,0,1
2021-06-29,-42.5,-37.5,1,0,1
2021-07-01,32.5,37.5,1,1,0
2021-07-13,-80.0,-75.0,1,0,1
2021-07-30,-42.5,-37.5,1,0,1
2021-08-17,57.5,62.5,1,1,0
2021-08-24,15.0,25.0,2,1,1
2021-08-25,-30.0,-25.0,1,0,1
2021-08-27,-130.0,-125.0,1,0,1
2021-09-03,-42.5,-37.5,1,0,1
2021-09-09,-42.5,-37.5,1,0,1
2021-09-27,-67.5,-62.5,1,0,1
2021-10-15,-80.0,-75.0,1,0,1
2021-10-21,-42.5,-37.5,1,0,1
2021-10-26,-67.5,-62.5,1,0,1
2021-10-27,57.5,62.5,1,1,0
2021-11-05,-142.5,-137.5,1,0,1
2021-11-30,57.5,62.5,1,1,0
2021-12-30,295.0,300.0,1,1,0
2022-01-12,-105.0,-100.0,1,0,1
2022-02-04,907.5,912.5,1,1,0
2022-03-09,-92.5,-87.5,1,0,1
2022-03-23,-92.5,-87.5,1,0,1
2022-03-24,-117.5,-112.5,1,0,1
2022-03-30,-92.5,-87.5,1,0,1
2022-05-12,-80.0,-75.0,1,0,1
2022-06-21,-67.5,-62.5,1,0,1
2022-07-07,82.5,87.5,1,1,0
2022-07-15,-55.0,-50.0,1,0,1
2022-08-03,-55.0,-50.0,1,0,1
2022-08-23,57.5,62.5,1,1,0
2022-08-24,-30.0,-25.0,1,0,1
2022-09-16,-105.0,-100.0,1,0,1
2022-09-19,-67.5,-62.5,1,0,1
2022-09-26,57.5,62.5,1,1,0
2022-10-17,57.5,62.5,1,1,0
2022-11-03,-80.0,-75.0,1,0,1
2022-11-11,315.0,325.0,2,1,1
2022-12-02,-80.0,-75.0,1,0,1
2022-12-12,-117.5,-112.5,1,0,1
2022-12-14,-30.0,-25.0,1,0,1
2023-01-18,57.5,62.5,1,1,0
2023-02-10,-30.0,-25.0,1,0,1
2023-02-17,-42.5,-37.5,1,0,1
2023-02-28,-80.0,-75.0,1,0,1
2023-03-08,57.5,62.5,1,1,0
2023-03-13,-92.5,-87.5,1,0,1
2023-03-20,-142.5,-137.5,1,0,1
2023-03-22,-55.0,-50.0,1,0,1
2023-03-24,270.0,275.0,1,1,0
2023-03-30,57.5,62.5,1,1,0
2023-04-03,-80.0,-75.0,1,0,1
2023-04-04,7.5,12.5,1,1,0
2023-04-13,-105.0,-100.0,1,0,1
2023-04-19,57.5,62.5,1,1,0
2023-04-20,-67.5,-62.5,1,0,1
2023-05-01,-80.0,-75.0,1,0,1
2023-06-01,-55.0,-50.0,1,0,1
2023-06-06,-42.5,-37.5,1,0,1
2023-06-08,-30.0,-25.0,1,0,1
2023-06-23,-17.5,-12.5,1,0,1
2023-06-27,-42.5,-37.5,1,0,1
2023-06-29,20.0,25.0,1,1,0
2023-07-10,332.5,337.5,1,1,0
2023-07-12,-17.5,-12.5,1,0,1
2023-07-17,-42.5,-37.5,1,0,1
2023-07-28,-42.5,-37.5,1,0,1
2023-08-14,-155.0,-150.0,1,0,1
2023-09-22,-92.5,-87.5,1,0,1
2023-10-02,57.5,62.5,1,1,0
2023-11-15,-80.0,-75.0,1,0,1
2023-11-28,-55.0,-50.0,1,0,1
2023-12-01,-30.0,-25.0,1,0,1
2023-12-07,-30.0,-25.0,1,0,1
2023-12-11,45.0,50.0,1,1,0
2023-12-13,-55.0,-50.0,1,0,1
2023-12-15,-30.0,-25.0,1,0,1
2023-12-18,-42.5,-37.5,1,0,1
2023-12-19,-17.5,-12.5,1,0,1
2023-12-28,-17.5,-12.5,1,0,1
2024-01-08,-105.0,-100.0,1,0,1
2024-01-09,57.5,62.5,1,1,0
2024-01-17,-67.5,-62.5,1,0,1
2024-01-19,-92.5,-87.5,1,0,1
2024-01-29,-67.5,-62.5,1,0,1
2024-01-30,232.5,237.5,1,1,0
2024-02-01,-80.0,-75.0,1,0,1
2024-02-09,-30.0,-25.0,1,0,1
2024-02-15,32.5,37.5,1,1,0
2024-02-21,-42.5,-37.5,1,0,1
2024-02-28,-42.5,-37.5,1,0,1
2024-03-04,-42.5,-37.5,1,0,1
2024-03-18,-30.0,-25.0,1,0,1
2024-03-26,45.0,50.0,1,1,0
2024-04-23,-105.0,-100.0,1,0,1
2024-05-17,-42.5,-37.5,1,0,1
2024-05-21,-30.0,-25.0,1,0,1
2024-05-24,-92.5,-87.5,1,0,1
2024-06-04,-55.0,-50.0,1,0,1
2024-06-17,-67.5,-62.5,1,0,1
2024-06-25,-80.0,-75.0,1,0,1
2024-06-26,-42.5,-37.5,1,0,1
2024-06-27,57.5,62.5,1,1,0
2024-07-05,-30.0,-25.0,1,0,1
2024-08-05,732.5,737.5,1,1,0
2024-08-15,-180.0,-175.0,1,0,1
2024-08-19,-55.0,-50.0,1,0,1
2024-08-29,-92.5,-87.5,1,0,1
2024-08-30,395.0,400.0,1,1,0
