variant_id,gate_col,gate_max,share_rank_min,min_abs_return_ticks,period,signals,signals_per_year
vol_downshift_trade_morning_1030,vol5_over_vol20,1.25,0.45,2,limited_core,52,73.05
vol_downshift_trade_morning_1030,vol5_over_vol20,1.25,0.45,2,wfa90,394,60.926545300592714
vol_downshift_trade_morning_1030,vol5_over_vol20,1.25,0.45,2,latest1y,67,67.23008241758241
vol_downshift_trade_morning_1030,vol5_over_vol20,1.25,0.45,3,full,431,60.75752605171748
vol_downshift_trade_morning_1030,vol5_over_vol20,1.25,0.45,3,limited_core,50,70.24038461538461
vol_downshift_trade_morning_1030,vol5_over_vol20,1.25,0.45,3,wfa90,384,59.380186282811174
vol_downshift_trade_morning_1030,vol5_over_vol20,1.25,0.45,3,latest1y,66,66.22664835164835
vol_downshift_trade_morning_1030,vol5_over_vol20,1.25,0.45,4,full,413,58.220088768815124
vol_downshift_trade_morning_1030,vol5_over_vol20,1.25,0.45,4,limited_core,49,68.83557692307693
vol_downshift_trade_morning_1030,vol5_over_vol20,1.25,0.45,4,wfa90,367,56.751375952582556
vol_downshift_trade_morning_1030,vol5_over_vol20,1.25,0.45,4,latest1y,64,64.21978021978022
vol_downshift_trade_morning_1030,vol5_over_vol20,1.25,0.55,2,full,401,56.52846391354689
vol_downshift_trade_morning_1030,vol5_over_vol20,1.25,0.55,2,limited_core,46,64.62115384615385
vol_downshift_trade_morning_1030,vol5_over_vol20,1.25,0.55,2,wfa90,355,54.89574513124471
vol_downshift_trade_morning_1030,vol5_over_vol20,1.25,0.55,2,latest1y,59,59.20260989010989
vol_downshift_trade_morning_1030,vol5_over_vol20,1.25,0.55,3,full,393,55.40071401003473
vol_downshift_trade_morning_1030,vol5_over_vol20,1.25,0.55,3,limited_core,44,61.81153846153846
vol_downshift_trade_morning_1030,vol5_over_vol20,1.25,0.55,3,wfa90,348,53.813293818797625
vol_downshift_trade_morning_1030,vol5_over_vol20,1.25,0.55,3,latest1y,58,58.199175824175825
vol_downshift_trade_morning_1030,vol5_over_vol20,1.25,0.55,4,full,377,53.14521420301042
vol_downshift_trade_morning_1030,vol5_over_vol20,1.25,0.55,4,limited_core,43,60.40673076923077
vol_downshift_trade_morning_1030,vol5_over_vol20,1.25,0.55,4,wfa90,333,51.493755292125314
vol_downshift_trade_morning_1030,vol5_over_vol20,1.25,0.55,4,latest1y,56,56.19230769230769
